ds,y
15/06/2023,7807
16/06/2023,6713
17/06/2023,6487
18/06/2023,7648
19/06/2023,7093
20/06/2023,6583
21/06/2023,6643
22/06/2023,6371
23/06/2023,5864
24/06/2023,6463
25/06/2023,8029
26/06/2023,7387
27/06/2023,7125
28/06/2023,6291
29/06/2023,6175
30/06/2023,5969
01/07/2023,6180
02/07/2023,7236
03/07/2023,6607
04/07/2023,6035
05/07/2023,5540
06/07/2023,5064
07/07/2023,4806
08/07/2023,5864
09/07/2023,7126
10/07/2023,6737
11/07/2023,25076
12/07/2023,28134
13/07/2023,19782
14/07/2023,19223
15/07/2023,21935
16/07/2023,25508
17/07/2023,22838
18/07/2023,21799
19/07/2023,20708
20/07/2023,19419
21/07/2023,18808
22/07/2023,24167
23/07/2023,27195
24/07/2023,23889
25/07/2023,22363
26/07/2023,22488
27/07/2023,22412
28/07/2023,21246
29/07/2023,24011
30/07/2023,29546
31/07/2023,26912
01/08/2023,24952
02/08/2023,24514
03/08/2023,19950
04/08/2023,20637
05/08/2023,25537
06/08/2023,26972
07/08/2023,24417
08/08/2023,24284
09/08/2023,22743
10/08/2023,22324
11/08/2023,23017
12/08/2023,26046
13/08/2023,30288
14/08/2023,28189
15/08/2023,24991
16/08/2023,23588
17/08/2023,23738
18/08/2023,23374
19/08/2023,25587
20/08/2023,29264
21/08/2023,27135
22/08/2023,26083
23/08/2023,25693
24/08/2023,25793
25/08/2023,24599
26/08/2023,26840
27/08/2023,29451
28/08/2023,31012
29/08/2023,28198
30/08/2023,25749
31/08/2023,26168
01/09/2023,24098
02/09/2023,25208
03/09/2023,29451
04/09/2023,26533
05/09/2023,23620
06/09/2023,24096
07/09/2023,24025
08/09/2023,24465
09/09/2023,28521
10/09/2023,33354
11/09/2023,27755
12/09/2023,26860
13/09/2023,24953
14/09/2023,24782
15/09/2023,22415
16/09/2023,26210
17/09/2023,33442
18/09/2023,30481
19/09/2023,28534
20/09/2023,27570
21/09/2023,25343
22/09/2023,24573
23/09/2023,27761
24/09/2023,33597
25/09/2023,27995
26/09/2023,26181
27/09/2023,24982
28/09/2023,24096
29/09/2023,23098
30/09/2023,28016
01/10/2023,32626
02/10/2023,26032
03/10/2023,33582
04/10/2023,29320
05/10/2023,23154
06/10/2023,22614
07/10/2023,24695
08/10/2023,28397
09/10/2023,26358
10/10/2023,31525
11/10/2023,30235
